1, 40
2, 40
3, 40
2, 40
3, 40
3, 39
3, 40
4, 40
5, 40
6, 40
6, 40
6, 39
6, 38
6, 37
6, 37
6, 37
5, 37
5, 38
5, 37
6, 37
6, 36
6, 37
6, 37
6, 37
6, 36
7, 36
8, 36
8, 36
8, 37
8, 36
8, 37
9, 37
9, 36
10, 36
10, 35
10, 36
9, 36
9, 35
10, 35
9, 35
9, 34
9, 33
9, 32
8, 32
8, 32
8, 33
7, 33
7, 33
7, 33
7, 33
7, 33
7, 33
7, 32
7, 31
8, 31
7, 31
8, 31
8, 32
7, 32
7, 31
7, 30
7, 31
6, 31
5, 31
5, 32
5, 31
4, 31
5, 31
6, 31
5, 31
5, 30
4, 30
4, 29
4, 28
3, 28
2, 28
2, 28
2, 27
3, 27
2, 27
2, 26
2, 25
2, 26
2, 25
1, 25
0, 25
0, 25
0, 26
0, 25
1, 25
2, 25
3, 25
3, 25
2, 25
3, 25
3, 25
3, 25
3, 25
3, 24
4, 24
5, 24
RRLRUDRRRRUUURRLDURUDRRURRDDUDRURUDLURLUUULUDLDDDDRUURLRDLUUDLLDULRRLULUULLLURLUUDULLLDURRRDLRDDDURR
HNHNNNNTTTNNTNHTNTNHNNNHNNNNNNNNTNTNNNNNHNNNTHHHHHHNTNTNNHTNTNNHNNNNNTNHTNTTHNHNHNHNHHTHNHHHHTHHHTNT
