70, 11
70, 10
71, 10
71, 10
71, 10
71, 10
71, 10
71, 11
71, 12
71, 11
71, 11
70, 11
70, 11
70, 10
71, 10
71, 9
72, 9
72, 8
71, 8
72, 8
73, 8
72, 8
72, 9
73, 9
73, 8
73, 8
73, 7
73, 7
73, 8
73, 8
73, 8
73, 7
73, 7
73, 7
73, 6
73, 7
74, 7
74, 7
74, 7
74, 7
75, 7
75, 8
75, 8
75, 8
75, 7
75, 6
75, 6
75, 7
75, 8
76, 8
76, 9
76, 10
76, 11
75, 11
76, 11
76, 12
76, 11
76, 12
76, 11
77, 11
77, 11
77, 10
77, 11
77, 12
76, 12
76, 13
76, 13
76, 12
77, 12
77, 12
77, 12
77, 11
77, 10
77, 9
78, 9
79, 9
80, 9
81, 9
81, 8
81, 9
80, 9
80, 10
79, 10
80, 10
81, 10
81, 10
81, 9
81, 10
81, 9
81, 10
81, 11
81, 12
82, 12
83, 12
84, 12
85, 12
85, 11
85, 10
85, 10
85, 11
84, 11
URDDRRDDULLLURURULRRLDRULULDLRULRUDRDRURDDDUULDDRDDDLRDUDURRUDDLDRURRRUUURRRRUDLDLRRRUDUDDDRRRRUUDDL
THHHTHTNTTTNTHNTNHNNNTNNNHTNNNTTTNTTNNNTHHHTNNTHNNHNNNHNNNNNTNNNNNNNNNNTHNNNHNHNNHNTTHTHTNNNNNTNTTNH
