14, 1
14, 1
14, 1
14, 1
13, 1
13, 2
13, 3
13, 2
14, 2
14, 3
14, 2
14, 1
14, 2
15, 2
15, 2
15, 2
14, 2
14, 2
15, 2
15, 3
15, 2
15, 2
15, 3
16, 3
17, 3
17, 2
18, 2
17, 2
17, 3
17, 3
16, 3
15, 3
16, 3
16, 3
17, 3
16, 3
16, 3
17, 3
17, 2
17, 1
18, 1
17, 1
17, 1
16, 1
16, 1
16, 0
16, 1
16, 0
16, 0
16, 0
16, 1
17, 1
17, 2
17, 2
17, 3
17, 2
17, 3
17, 4
17, 3
17, 3
17, 4
17, 3
17, 4
17, 5
17, 6
17, 5
17, 6
18, 6
18, 6
18, 5
18, 4
18, 3
18, 2
18, 1
17, 1
17, 1
17, 2
17, 1
17, 2
17, 3
18, 3
18, 3
18, 2
17, 2
18, 2
19, 2
20, 2
21, 2
21, 3
21, 3
21, 3
21, 3
21, 4
20, 4
21, 4
20, 4
19, 4
20, 4
21, 4
21, 3
21, 3
RRRLDDURDUUDRURLURDUUDRRURLDRLLRURLURUURLDLDUDURUDRDLDUDDURDUDDDUDRUUUUUULUDUDDRRULRRRRDURLDLRLLRRUL
HHHTHTTNTNHNHHHNNHNHHNHTHTHTTHNHNTHHTHHNHHHHNHHHHHHTHTHTHNTTTHNNNNTTTHNTNHHHHHTTTTHNTNHNNNNTHTNNNTNN
